252   J0641+07        100.291667      7.733333
253   J0645+5158      101.496176     51.970811
254   J0645+80        101.500000     80.150000
255   J0646+0905      101.629146      9.097028
256   J0647+0913      101.815333      9.233194
257   J0652-0142      103.046275     -1.708417
258   J0653+4706      103.250000     47.100000
259   J0653+8051      103.312875     80.866728
260   J0656-2228      104.125862    -22.473764
261   J0656-5449      104.204125    -54.820811
262   J0658+0022      104.563371      0.376472
263   J0659+1414      104.950558     14.239306
264   J0700+6418      105.157508     64.303111
265   J0702-4956      105.663750    -49.942833
266   J0709-5923      107.385554    -59.398778
267   J0711+0931      107.900750      9.523611
268   J0711-6830      107.975788    -68.513171
269   J0719-2545      109.780750    -25.750064
270   J0720-3125      110.104008    -31.430579
271   J0721-2038      110.428770    -20.635295
272   J0725-1635      111.251684    -16.596060
273   J0726-2612      111.533833    -26.210583
274   J0729-1448      112.318542    -14.810222
275   J0729-1836      112.384798    -18.611875
276   J0733-2345      113.352500    -23.765611
277   J0734-1559      113.500000    -15.983333
278   J0736-6304      114.083375    -63.071111
279   J0737-2202      114.433629    -22.034811
280   J0737-3039A     114.463535    -30.661310
281   J0737-3039B     114.463535    -30.661310
282   J0737+69        114.250000     69.233333
283   J0738-4042      114.634704    -40.711372
284   J0740+41        115.250000     41.066667
285   J0740+6620      115.190814     66.342657
286   J0742-2822      115.704408    -28.378822
287   J0745-5353      116.259583    -53.856111
288   J0746-4529      116.747992    -45.490736
289   J0746+66        116.500000     66.600000
290   J0749-4247      117.456979    -42.795039
291   J0749-68        117.708333    -68.740833
292   J0750+57        117.500000     57.000000
293   J0751+1807      117.788147     18.127357
294   J0754+3231      118.669533     32.532278
295   J0758-1528      119.621128    -15.469094
296   J0804-3647      121.092500    -36.793194
297   J0806+08        121.520833      8.283333
298   J0806-4123      121.597500    -41.375250
299   J0807-5421      121.946604    -54.357350
300   J0808-3937      122.048458    -39.631361
301   J0809-4753      122.432875    -47.898650
302   J0812-3905      123.061675    -39.096922
303   J0814+7429      123.747917     74.484917
304   J0815+0939      123.786567      9.664083
305   J0818-3049      124.705417    -30.825278
306   J0818-3232      124.608063    -32.541814
307   J0820-1350      125.109924    -13.848850
308   J0820-3826      125.249717    -38.445244
309   J0820-3921      125.204625    -39.365472
310   J0820-4114      125.064375    -41.243444
311   J0821-4221      125.435983    -42.357072
312   J0821-4300      125.489022    -43.004743
313   J0823+0159      125.790700      1.986781
314   J0824+00        126.066667      0.450000
315   J0826+2637      126.714097     26.623275
316   J0828-3417      127.069273    -34.285291
317   J0831-4406      127.885125    -44.103306
318   J0834-4159      128.567917    -41.997500
319   J0834-60        128.708333    -60.583333
320   J0835-3707      128.762833    -37.130972
321   J0835-42        128.904167    -42.543611
322   J0835-4510      128.835881    -45.176354
323   J0837+0610      129.273508      6.170711
324   J0837-24        129.433333    -24.796667
325   J0837-4135      129.338257    -41.587325
326   J0838-2621      129.578338    -26.358208
327   J0838-3947      129.628333    -39.789444
328   J0840-5332      130.141167    -53.543194
329   J0842-4851      130.522375    -48.855778
330   J0843+0719      130.890917      7.313278
331   J0843-5022      130.791183    -50.378639
332   J0846-3533      131.525252    -35.561292
333   J0847-4316      131.988875    -43.282444
334   J0848+16        132.220833     16.716667
335   J0849-6322      132.427458    -63.376389
336   J0849+8028      132.256282     80.483090
337   J0855-3331      133.910056    -33.527584
338   J0855-4644      133.900750    -46.737056
339   J0855-4658      133.831542    -46.972944
340   J0856-6137      134.247125    -61.631472
341   J0857-4424      134.479829    -44.402867
342   J0900-3144      135.183138    -31.741915
343   J0901-4624      135.417167    -46.413472
344   J0902-6325      135.635000    -63.420000
345   J0904-4246      136.246667    -42.770556
346   J0904-7459      136.045000    -74.995222
347   J0905-4536      136.349583    -45.614722
348   J0905-5127      136.466342    -51.463531
349   J0905-6019      136.313521    -60.322794
350   J0907-5157      136.816250    -51.966458
351   J0908-1739      137.159092    -17.660464
352   J0908-4913      137.148042    -49.218472
353   J0909-7212      137.400000    -72.202333
354   J0910+77        137.500000     77.466667
355   J0912-3851      138.177917    -38.850833
356   J0919-42        139.750000    -42.000000
357   J0919-6040      139.866125    -60.680667
358   J0921+6254      140.308897     62.903864
359   J0922+0638      140.558425      6.639806
360   J0922-4949      140.562337    -49.820022
361   J0922-52        140.500000    -52.000000
362   J0923-31        140.991667    -31.950000
363   J0924-5302      141.036208    -53.045611
364   J0924-5814      141.129167    -58.235111
365   J0927+2345      141.938583     23.752972
366   J0928+06        142.183333      6.233333
367   J0928+30        142.179167     30.616667
368   J0930-2301      142.511750    -23.029167
369   J0931-1902      142.829655    -19.048618
370   J0932-3217      143.163125    -32.287278
371   J0932-5327      143.095250    -53.453056
372   J0934-4154      143.742500    -41.905417
373   J0934-5249      143.617917    -52.824222
374   J0940-5428      145.242583    -54.477944
375   J0941-39        145.408333    -39.683333
376   J0941-5244      145.421446    -52.734578
377   J0942-5552      145.565958    -55.881194
378   J0942-5657      145.726925    -56.962067
379   J0943+1631      145.875417     16.526944
380   J0943+2253      145.884990     22.884906
381   J0943+41        145.750000     41.150000
382   J0944-1354      146.120650    -13.911564
383   J0945-4833      146.409392    -48.554028
384   J0946+0951      146.531667      9.865278
385   J0947+2740      146.838696     27.678750
386   J0949-6902      147.335696    -69.044889
387   J0952-0607      148.034662     -6.123192
388   J0952-3839      148.071667    -38.652833
389   J0953+0755      148.288790      7.926597
390   J0954-5430      148.525167    -54.514861
391   J0955-5304      148.872917    -53.071306
392   J0955-61        148.750000    -61.800000
393   J0957-06        149.250000     -6.283333
394   J0957-5432      149.483375    -54.534417
395   J0959-4809      149.859417    -48.163194
396   J1000-5149      150.117254    -51.832811
397   J1001-5507      150.408250    -55.118528
398   J1001-5559      150.285833    -55.983389
399   J1001-5939      150.384292    -59.654944
400   J1002-5559      150.741250    -55.993611
401   J1002-5919      150.585417    -59.327000
402   J1003-4747      150.839917    -47.783889
403   J1005+30        151.375000     30.250000
404   J1006-6311      151.652500    -63.194778
405   J1010+15        152.500000     15.850000
406   J1012-2337      153.140527    -23.639561
407   J1012-4235      153.029167    -42.583333
408   J1012+5307      153.139326     53.117301
409   J1012-5830      153.228750    -58.507111
410   J1012-5857      153.202083    -58.961111
411   J1013-5934      153.382725    -59.574083
412   J1014-48        153.575000    -48.828333
413   J1015-5719      153.908167    -57.320222
414   J1016-5345      154.130000    -53.753833
415   J1016-5819      154.050417    -58.316986
416   J1016-5857      154.088167    -58.953361
417   J1017-5621      154.303583    -56.358528
418   J1017-7156      154.463868    -71.944902
419   J1018-1642      154.668190    -16.702816
420   J1019-5749      154.967250    -57.818306
421   J1020-5921      155.058458    -59.359444
422   J1020-6026      155.047500    -60.435222
423   J1021-5601      155.353417    -56.030806
424   J1022+1001      155.741664     10.031329
425   J1022-5813      155.617083    -58.225000
426   J1023+0038      155.948697      0.644679
427   J1023-5746      155.762083    -57.768056
428   J1024-0719      156.161114     -7.322110
429   J1028-5819      157.116667    -58.318111
430   J1031-6117      157.759333    -61.297389
